user_id,age,screen_time_pre,screen_time_post,successful_sessions,failed_sessions,rangel_interactions,trivias_won,rewards_redeemed,beta_rating
1,15,10.5,7.2,18,10,28,14,5,4
2,19,8.5,5.5,30,4,15,8,3,5
3,13,11.2,8.0,14,12,32,16,6,4
4,24,7.5,4.8,35,2,10,5,2,5
5,16,9.8,6.5,22,7,24,11,4,4
6,14,12.0,8.5,15,14,35,18,7,3
7,22,8.0,5.2,28,3,12,6,2,4
8,17,9.5,6.0,25,5,20,10,4,5
9,30,6.5,4.5,32,1,5,2,1,4
10,15,10.8,7.5,16,11,26,13,5,3
11,18,8.8,5.8,26,4,18,9,3,5
12,20,8.2,5.5,29,3,14,7,3,4
13,13,11.5,8.2,12,15,34,17,6,4
14,25,7.0,4.6,33,2,8,4,2,5
15,16,10.2,7.0,20,8,25,12,5,4
16,17,9.1,6.1,24,6,19,9,3,4
17,21,8.4,5.4,31,3,11,5,2,5
18,14,11.8,8.4,13,13,31,15,6,3
19,26,6.8,4.5,34,1,6,3,1,4
20,15,10.4,7.1,19,9,27,14,5,4
21,19,8.6,5.7,28,5,16,8,3,5
22,23,7.6,4.9,32,2,9,4,2,4
23,16,9.9,6.6,21,8,23,10,4,3
24,18,8.9,5.9,25,5,17,8,3,4
25,28,6.2,4.2,36,1,4,1,0,5
26,14,11.0,7.9,16,11,29,14,5,4
27,20,8.1,5.3,30,3,13,6,2,5
28,17,9.4,6.3,23,6,21,11,4,4
29,22,7.8,5.0,29,3,10,5,2,4
30,13,10.9,7.8,15,10,30,15,6,3
31,27,6.6,4.4,35,1,7,3,1,5
32,15,10.6,7.3,18,9,26,13,5,4
33,21,8.3,5.5,31,4,12,6,2,5
34,16,10.0,6.7,20,7,24,11,4,4
35,19,8.7,5.8,27,4,15,7,3,4
36,24,7.2,4.6,34,2,8,4,1,5
37,17,9.6,6.4,22,6,20,10,4,3
38,14,11.4,8.1,14,12,33,16,6,4
39,23,7.4,4.7,33,2,9,4,2,4
40,18,9.0,6.0,24,5,18,9,3,5
41,25,6.9,4.4,36,1,6,2,1,5
42,15,10.7,7.4,17,10,27,13,5,4
43,20,8.0,5.2,29,3,14,7,3,4
44,16,9.7,6.5,21,7,22,10,4,4
45,29,6.1,4.1,38,1,3,1,0,5
46,13,11.1,8.0,13,11,31,15,6,3
47,22,7.7,4.9,30,2,11,5,2,4
48,17,9.3,6.2,25,5,19,9,3,5
49,26,6.7,4.3,35,1,5,2,1,4
50,19,8.8,5.9,26,4,16,8,3,4
51,21,8.5,5.6,28,4,13,6,2,5
52,14,11.6,8.2,15,12,32,16,6,4
53,30,6.4,4.3,37,1,4,2,1,5
54,23,7.3,4.6,34,2,8,3,1,4
55,18,9.2,6.1,23,6,17,8,3,3
